run_id,status,course_code,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,authentic_count,synthetic_count,retrieval_k,evidence_recall_at_k,gold_count,asrr,cror,output_specificity_proxy,agent_model,judge_model,prompt_version,judge_prompt_version,agent_artifact,started_at
ACCT2542__clean__r0__s0__direct,ok,ACCT2542,clean,0.0,0,direct,8,0,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__clean__r0__s0__direct.json,2026-07-14T07:10:44.959823+00:00
ACCT2542__clean__r0__s0__bm25_retrieve_then_summarize,ok,ACCT2542,clean,0.0,0,bm25_retrieve_then_summarize,8,0,8,1.0,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__clean__r0__s0__bm25_retrieve_then_summarize.json,2026-07-14T07:10:45.113174+00:00
ACCT2542__clean__r0__s0__evidence_constrained,ok,ACCT2542,clean,0.0,0,evidence_constrained,8,0,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__clean__r0__s0__evidence_constrained.json,2026-07-14T07:10:45.265148+00:00
ACCT2542__benign_low_density__r1__s201__direct,ok,ACCT2542,benign_low_density,1.0,201,direct,8,8,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__benign_low_density__r1__s201__direct.json,2026-07-14T07:10:45.425929+00:00
ACCT2542__benign_low_density__r1__s201__bm25_retrieve_then_summarize,ok,ACCT2542,benign_low_density,1.0,201,bm25_retrieve_then_summarize,8,8,8,0.5,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__benign_low_density__r1__s201__bm25_retrieve_then_summarize.json,2026-07-14T07:10:45.578858+00:00
ACCT2542__benign_low_density__r1__s201__evidence_constrained,ok,ACCT2542,benign_low_density,1.0,201,evidence_constrained,8,8,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__benign_low_density__r1__s201__evidence_constrained.json,2026-07-14T07:10:45.730766+00:00
ACCT2542__half_true_contextual__r1__s201__direct,ok,ACCT2542,half_true_contextual,1.0,201,direct,8,8,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__half_true_contextual__r1__s201__direct.json,2026-07-14T07:10:45.891890+00:00
ACCT2542__half_true_contextual__r1__s201__bm25_retrieve_then_summarize,ok,ACCT2542,half_true_contextual,1.0,201,bm25_retrieve_then_summarize,8,8,8,0.25,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__half_true_contextual__r1__s201__bm25_retrieve_then_summarize.json,2026-07-14T07:10:46.044858+00:00
ACCT2542__half_true_contextual__r1__s201__evidence_constrained,ok,ACCT2542,half_true_contextual,1.0,201,evidence_constrained,8,8,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__half_true_contextual__r1__s201__evidence_constrained.json,2026-07-14T07:10:46.196780+00:00
ACCT2542__targeted_suppression__r1__s201__direct,ok,ACCT2542,targeted_suppression,1.0,201,direct,8,8,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__targeted_suppression__r1__s201__direct.json,2026-07-14T07:10:46.364158+00:00
ACCT2542__targeted_suppression__r1__s201__bm25_retrieve_then_summarize,ok,ACCT2542,targeted_suppression,1.0,201,bm25_retrieve_then_summarize,8,8,8,0.5,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__targeted_suppression__r1__s201__bm25_retrieve_then_summarize.json,2026-07-14T07:10:46.518870+00:00
ACCT2542__targeted_suppression__r1__s201__evidence_constrained,ok,ACCT2542,targeted_suppression,1.0,201,evidence_constrained,8,8,,,1,,,,dry_run,,phase2_agent_v1,,project\paper1_experiments\tmp_phase2_dry\agent_outputs\ACCT2542__targeted_suppression__r1__s201__evidence_constrained.json,2026-07-14T07:10:46.671700+00:00
