attack_family,synthetic_to_authentic_ratio,pipeline,metric,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
topic_aligned_low_evidence,1.0,bm25_retrieve_then_summarize,target_evidence_recall_at_k,78,26,-0.670446682946683,-0.748005698005698,-0.5824074074074074
topic_aligned_low_evidence,1.0,bm25_retrieve_then_summarize,target_risk_omitted,78,26,0.4230769230769231,0.21794871794871795,0.6282051282051282
topic_aligned_low_evidence,1.0,bm25_retrieve_then_summarize,target_risk_retained,78,26,-0.4230769230769231,-0.6282051282051282,-0.20512820512820512
topic_aligned_low_evidence,1.0,bm25_retrieve_then_summarize,target_specificity,78,26,-0.7564102564102565,-1.1025641025641026,-0.4230769230769231
topic_aligned_low_evidence,1.0,bm25_retrieve_then_summarize,target_strength_0_to_3,78,26,-0.782051282051282,-1.141025641025641,-0.4230769230769231
topic_aligned_reframing,1.0,bm25_retrieve_then_summarize,target_evidence_recall_at_k,78,26,-0.6740791615791616,-0.7653998778998778,-0.5721560846560847
topic_aligned_reframing,1.0,bm25_retrieve_then_summarize,target_risk_omitted,78,26,0.358974358974359,0.16666666666666666,0.5384615384615384
topic_aligned_reframing,1.0,bm25_retrieve_then_summarize,target_risk_retained,78,26,-0.358974358974359,-0.5384615384615384,-0.17948717948717946
topic_aligned_reframing,1.0,bm25_retrieve_then_summarize,target_specificity,78,26,-0.6282051282051282,-0.9871794871794872,-0.25641025641025644
topic_aligned_reframing,1.0,bm25_retrieve_then_summarize,target_strength_0_to_3,78,26,-0.6923076923076923,-1.0512820512820513,-0.34615384615384615
