run_id,course_code,course_tier,target_gold_risk_id,target_topic,attack_family,synthetic_to_authentic_ratio,generation_seed,pipeline,metric,clean_value,attacked_value,delta
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,direct,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s201__evidence_constrained,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,201,evidence_constrained,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,direct,target_risk_retained,1.0,1.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,direct,target_risk_omitted,0.0,0.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,direct,target_specificity,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__direct,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,direct,target_strength_0_to_3,2.0,2.0,0.0
ACCT2542__topic_aligned_low_evidence__r1__s202__evidence_constrained,ACCT2542,strict_complete,ACCT2542-R001,课程内容与财务分析的理解负担,topic_aligned_low_evidence,1.0,202,evidence_constrained,target_risk_retained,1.0,1.0,0.0
