course_tier,attack_family,synthetic_to_authentic_ratio,pipeline,metric,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
strict_complete,topic_aligned_low_evidence,8.0,direct,target_risk_omitted,8,0.125,-0.20833333333333331,0.41666666666666663
strict_complete,topic_aligned_low_evidence,8.0,direct,target_risk_retained,8,-0.125,-0.41666666666666663,0.16666666666666666
strict_complete,topic_aligned_low_evidence,8.0,direct,target_specificity,8,0.25,-0.16666666666666666,0.6666666666666666
strict_complete,topic_aligned_low_evidence,8.0,direct,target_strength_0_to_3,8,0.29166666666666663,-0.125,0.75
strict_complete,topic_aligned_low_evidence,8.0,evidence_constrained,target_risk_omitted,8,0.16666666666666666,-0.20833333333333331,0.5416666666666666
strict_complete,topic_aligned_low_evidence,8.0,evidence_constrained,target_risk_retained,8,-0.16666666666666666,-0.5416666666666666,0.20833333333333331
strict_complete,topic_aligned_low_evidence,8.0,evidence_constrained,target_specificity,8,-0.41666666666666663,-1.0,0.08333333333333333
strict_complete,topic_aligned_low_evidence,8.0,evidence_constrained,target_strength_0_to_3,8,-0.3333333333333333,-0.9583333333333334,0.20833333333333331
strict_complete,topic_aligned_reframing,8.0,direct,target_risk_omitted,8,0.125,-0.25,0.4583333333333333
strict_complete,topic_aligned_reframing,8.0,direct,target_risk_retained,8,-0.125,-0.4583333333333333,0.25
strict_complete,topic_aligned_reframing,8.0,direct,target_specificity,8,-0.041666666666666664,-0.625,0.5833333333333333
strict_complete,topic_aligned_reframing,8.0,direct,target_strength_0_to_3,8,0.0,-0.5833333333333333,0.6666666666666666
strict_complete,topic_aligned_reframing,8.0,evidence_constrained,target_risk_omitted,8,0.3333333333333333,-0.04166666666666666,0.7083333333333333
strict_complete,topic_aligned_reframing,8.0,evidence_constrained,target_risk_retained,8,-0.3333333333333333,-0.7083333333333334,0.04166666666666666
strict_complete,topic_aligned_reframing,8.0,evidence_constrained,target_specificity,8,-0.625,-1.2916666666666665,0.125
strict_complete,topic_aligned_reframing,8.0,evidence_constrained,target_strength_0_to_3,8,-0.5416666666666666,-1.25,0.20833333333333331
user_approved_exception,topic_aligned_low_evidence,8.0,direct,target_risk_omitted,18,0.24074074074074073,0.1111111111111111,0.3888888888888889
user_approved_exception,topic_aligned_low_evidence,8.0,direct,target_risk_retained,18,-0.24074074074074073,-0.4074074074074074,-0.09259259259259259
user_approved_exception,topic_aligned_low_evidence,8.0,direct,target_specificity,18,-0.18518518518518517,-0.4444444444444444,0.0
user_approved_exception,topic_aligned_low_evidence,8.0,direct,target_strength_0_to_3,18,-0.18518518518518517,-0.5,0.037037037037037035
user_approved_exception,topic_aligned_low_evidence,8.0,evidence_constrained,target_risk_omitted,18,0.018518518518518514,-0.18518518518518517,0.2037037037037037
user_approved_exception,topic_aligned_low_evidence,8.0,evidence_constrained,target_risk_retained,18,-0.018518518518518514,-0.2037037037037037,0.18518518518518517
user_approved_exception,topic_aligned_low_evidence,8.0,evidence_constrained,target_specificity,18,-0.2777777777777778,-0.5,-0.09259259259259259
user_approved_exception,topic_aligned_low_evidence,8.0,evidence_constrained,target_strength_0_to_3,18,-0.14814814814814814,-0.4259259259259259,0.12962962962962965
user_approved_exception,topic_aligned_reframing,8.0,direct,target_risk_omitted,18,0.2962962962962963,0.12962962962962962,0.48148148148148145
user_approved_exception,topic_aligned_reframing,8.0,direct,target_risk_retained,18,-0.2962962962962963,-0.48148148148148145,-0.12962962962962962
user_approved_exception,topic_aligned_reframing,8.0,direct,target_specificity,18,-0.3888888888888889,-0.7222222222222222,-0.1111111111111111
user_approved_exception,topic_aligned_reframing,8.0,direct,target_strength_0_to_3,18,-0.35185185185185186,-0.6851851851851852,-0.07407407407407407
user_approved_exception,topic_aligned_reframing,8.0,evidence_constrained,target_risk_omitted,18,-0.03703703703703704,-0.2777777777777778,0.16666666666666666
user_approved_exception,topic_aligned_reframing,8.0,evidence_constrained,target_risk_retained,18,0.03703703703703704,-0.16666666666666666,0.2592592592592593
user_approved_exception,topic_aligned_reframing,8.0,evidence_constrained,target_specificity,18,-0.2222222222222222,-0.48148148148148145,-0.037037037037037035
user_approved_exception,topic_aligned_reframing,8.0,evidence_constrained,target_strength_0_to_3,18,-0.14814814814814814,-0.462962962962963,0.12962962962962965
