attack_family,synthetic_to_authentic_ratio,pipeline,metric,scope,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
benign_low_density,0.1,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.002222222222222219,-0.07644444444444444,0.07533888888888886
benign_low_density,0.1,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.029166666666666664,-0.18333333333333332,0.13541666666666669
benign_low_density,0.1,bm25_retrieve_then_summarize,cror,available_cohort,48,16,-0.006597222222222224,-0.11776041666666666,0.09273437499999984
benign_low_density,0.1,bm25_retrieve_then_summarize,cror,available_strict,15,5,-0.049999999999999996,-0.19999999999999998,0.049999999999999996
benign_low_density,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.09977777777777777,-0.2604666666666666,0.06579999999999987
benign_low_density,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-0.24791666666666665,-0.44791666666666663,-0.08124999999999999
benign_low_density,0.1,direct,asrr,available_cohort,75,25,-0.040888888888888884,-0.1898,0.12177777777777778
benign_low_density,0.1,direct,asrr,available_strict,24,8,0.11666666666666667,-0.14583333333333331,0.45
benign_low_density,0.1,direct,cror,available_cohort,48,16,0.10486111111111111,-0.0625,0.28196180555555544
benign_low_density,0.1,direct,cror,available_strict,15,5,0.04444444444444444,0.0,0.13333333333333333
benign_low_density,0.1,direct,output_specificity_proxy,available_cohort,75,25,-0.04000000000000001,-0.3348,0.27869999999999984
benign_low_density,0.1,direct,output_specificity_proxy,available_strict,24,8,0.16666666666666669,-0.375,0.8125
benign_low_density,0.1,evidence_constrained,asrr,available_cohort,75,25,-0.13777777777777778,-0.23689444444444446,-0.04777777777777779
benign_low_density,0.1,evidence_constrained,asrr,available_strict,24,8,-0.21666666666666667,-0.375,-0.08125
benign_low_density,0.1,evidence_constrained,cror,available_cohort,48,16,0.10034722222222223,-0.025008680555555548,0.24932291666666656
benign_low_density,0.1,evidence_constrained,cror,available_strict,15,5,0.08333333333333333,0.0,0.21666666666666665
benign_low_density,0.1,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.3655555555555555,-0.6000166666666666,-0.13688333333333336
benign_low_density,0.1,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.5812499999999999,-0.90625,-0.25625
benign_low_density,0.25,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.07555555555555556,-0.18467777777777777,0.024449999999999972
benign_low_density,0.25,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.125,-0.4166666666666667,0.07291666666666667
benign_low_density,0.25,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.07222222222222222,-0.059027777777777776,0.225
benign_low_density,0.25,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.03333333333333333,0.0,0.09999999999999999
benign_low_density,0.25,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.25533333333333336,-0.46066666666666667,-0.06688333333333336
benign_low_density,0.25,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-0.49374999999999997,-0.9626041666666667,-0.15625
benign_low_density,0.25,direct,asrr,available_cohort,75,25,0.024444444444444442,-0.08134444444444446,0.13071111111111086
benign_low_density,0.25,direct,asrr,available_strict,24,8,0.12083333333333332,-0.025,0.3083333333333333
benign_low_density,0.25,direct,cror,available_cohort,48,16,0.011111111111111118,-0.12779513888888888,0.16458333333333336
benign_low_density,0.25,direct,cror,available_strict,15,5,-0.03333333333333333,-0.09999999999999999,0.0
benign_low_density,0.25,direct,output_specificity_proxy,available_cohort,75,25,0.01644444444444443,-0.1885111111111111,0.23533888888888885
benign_low_density,0.25,direct,output_specificity_proxy,available_strict,24,8,0.1375,-0.18338541666666666,0.5480729166666659
benign_low_density,0.25,evidence_constrained,asrr,available_cohort,75,25,-0.12622222222222224,-0.23422222222222222,-0.035100000000000055
benign_low_density,0.25,evidence_constrained,asrr,available_strict,24,8,-0.2583333333333333,-0.5208333333333334,-0.05
benign_low_density,0.25,evidence_constrained,cror,available_cohort,48,16,0.0767361111111111,-0.027439236111111105,0.19791666666666666
benign_low_density,0.25,evidence_constrained,cror,available_strict,15,5,0.03888888888888889,0.0,0.08333333333333333
benign_low_density,0.25,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.31155555555555553,-0.5488888888888889,-0.08663333333333352
benign_low_density,0.25,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.6458333333333334,-1.1458333333333333,-0.1875
benign_low_density,0.5,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.16066666666666668,-0.2853333333333333,-0.046666666666666676
benign_low_density,0.5,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.35625,-0.65625,-0.0625
benign_low_density,0.5,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.13680555555555554,-0.025,0.3194791666666664
benign_low_density,0.5,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.07777777777777778,-0.06666666666666667,0.3
benign_low_density,0.5,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.5068888888888889,-0.7702333333333333,-0.26554444444444447
benign_low_density,0.5,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-1.0729166666666667,-1.6145833333333333,-0.6039062500000014
benign_low_density,0.5,direct,asrr,available_cohort,75,25,0.03622222222222222,-0.07844999999999999,0.17333333333333334
benign_low_density,0.5,direct,asrr,available_strict,24,8,0.17708333333333331,-0.06250000000000001,0.46875
benign_low_density,0.5,direct,cror,available_cohort,48,16,0.04791666666666666,-0.09791666666666667,0.17291666666666666
benign_low_density,0.5,direct,cror,available_strict,15,5,0.0,0.0,0.0
benign_low_density,0.5,direct,output_specificity_proxy,available_cohort,75,25,0.10377777777777777,-0.12205,0.3702333333333333
benign_low_density,0.5,direct,output_specificity_proxy,available_strict,24,8,0.36041666666666666,-0.12296874999999996,0.9333333333333333
benign_low_density,0.5,evidence_constrained,asrr,available_cohort,75,25,-0.17355555555555555,-0.2926722222222222,-0.07287777777777785
benign_low_density,0.5,evidence_constrained,asrr,available_strict,24,8,-0.27291666666666664,-0.5,-0.06666666666666667
benign_low_density,0.5,evidence_constrained,cror,available_cohort,48,16,0.1454861111111111,0.001736111111111111,0.3229513888888887
benign_low_density,0.5,evidence_constrained,cror,available_strict,15,5,0.027777777777777776,-0.049999999999999996,0.13333333333333333
benign_low_density,0.5,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.4633333333333333,-0.7209,-0.2182166666666667
benign_low_density,0.5,evidence_constrained,output_specificity_proxy,available_strict,24,8,-0.79375,-1.25,-0.3374479166666669
benign_low_density,1.0,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.3224444444444444,-0.4791111111111111,-0.17998888888888895
