attack_family,synthetic_to_authentic_ratio,pipeline,metric,scope,run_count,course_count,mean_paired_delta,bootstrap_ci95_lower,bootstrap_ci95_upper
benign_low_density,0.1,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.17844444444444446,-0.28622777777777775,-0.08421666666666672
benign_low_density,0.1,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.31875,-0.5729166666666666,-0.1
benign_low_density,0.1,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.12465277777777778,0.03611111111111111,0.21877604166666653
benign_low_density,0.1,bm25_retrieve_then_summarize,cror,available_strict,15,5,0.11666666666666667,0.0,0.31666666666666665
benign_low_density,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_cohort,75,25,-0.19777777777777777,-0.4669055555555556,0.03358333333333319
benign_low_density,0.1,bm25_retrieve_then_summarize,output_specificity_proxy,available_strict,24,8,-0.42083333333333334,-1.11875,0.2063541666666661
benign_low_density,0.1,direct,asrr,available_cohort,75,25,-0.05311111111111111,-0.18089444444444444,0.06936666666666648
benign_low_density,0.1,direct,asrr,available_strict,24,8,-0.0020833333333333346,-0.17916666666666667,0.21671874999999968
benign_low_density,0.1,direct,cror,available_cohort,48,16,0.08437499999999999,-0.057352430555555556,0.25104166666666666
benign_low_density,0.1,direct,cror,available_strict,15,5,0.005555555555555555,-0.049999999999999996,0.06666666666666667
benign_low_density,0.1,direct,output_specificity_proxy,available_cohort,75,25,0.0037777777777777744,-0.2980111111111111,0.27251111111111076
benign_low_density,0.1,direct,output_specificity_proxy,available_strict,24,8,0.06875,-0.35833333333333334,0.5126041666666661
benign_low_density,0.1,evidence_constrained,asrr,available_cohort,75,25,-0.028888888888888895,-0.15048333333333336,0.09667222222222219
benign_low_density,0.1,evidence_constrained,asrr,available_strict,24,8,0.03333333333333333,-0.24796875,0.36666666666666664
benign_low_density,0.1,evidence_constrained,cror,available_cohort,48,16,0.08576388888888889,-0.047282986111111105,0.2524565972222221
benign_low_density,0.1,evidence_constrained,cror,available_strict,15,5,0.03888888888888889,0.0,0.08333333333333333
benign_low_density,0.1,evidence_constrained,output_specificity_proxy,available_cohort,75,25,-0.06022222222222222,-0.3068888888888889,0.20511666666666664
benign_low_density,0.1,evidence_constrained,output_specificity_proxy,available_strict,24,8,0.03541666666666668,-0.5334375,0.7270833333333333
benign_low_density,0.25,bm25_retrieve_then_summarize,asrr,available_cohort,75,25,-0.1628888888888889,-0.27889444444444444,-0.06287222222222232
benign_low_density,0.25,bm25_retrieve_then_summarize,asrr,available_strict,24,8,-0.26458333333333334,-0.5083333333333333,-0.07708333333333334
benign_low_density,0.25,bm25_retrieve_then_summarize,cror,available_cohort,48,16,0.17152777777777778,0.004774305555555563,0.3451736111111109
