course_code,cohort_tier,expected_exception_band,n_annotation_rows,n_complete_review_annotations,n_incomplete_review_annotations,n_reviews,n_evidence_units,raw_character_count,mean_specificity_0_3,high_specificity_share_ge2,low_evidence_general_share,first_hand_yes_share,evidence_units_per_100_chars,specificity_peakness_max_minus_mean,evidence_concentration_hhi,aspect_entropy_bits,n_gold_risk_rows,n_gold_risks,n_gold_risk_id_collisions,n_critical_gold_risks,n_low_frequency_gold_risks,gold_risks_with_support_ids
ACCT2542,strict_complete,0,8,8,0,8,8,969,1.500,0.500,0.500,1.000,0.826,1.500,0.125,1.891,1,1,0,1,0,1
COMM1150,strict_complete,0,10,10,0,10,3,519,1.900,0.700,0.700,1.000,0.578,1.100,0.333,2.367,2,2,0,1,0,2
COMP3411,strict_complete,0,10,10,0,10,10,1251,1.700,0.500,0.400,0.900,0.799,1.300,0.160,2.767,5,5,0,4,4,5
COMP9020,strict_complete,0,9,9,0,9,14,655,2.222,0.778,0.444,1.000,2.137,0.778,0.163,2.453,4,4,0,3,0,4
COMP9021,strict_complete,0,11,11,0,11,11,1191,1.818,0.636,0.636,1.000,0.924,1.182,0.091,2.930,1,1,0,0,1,1
COMP9321,strict_complete,0,11,11,0,11,11,637,1.545,0.364,0.636,0.909,1.727,1.455,0.091,2.372,1,1,0,0,0,1
ECON1101,strict_complete,0,10,10,0,10,12,1649,2.000,0.800,0.500,1.000,0.728,1.000,0.208,2.820,4,4,0,2,3,4
MATH5836,strict_complete,0,9,9,0,9,9,604,1.889,0.667,0.556,0.778,1.490,1.111,0.111,3.084,1,1,0,0,1,1
CDEV3500,manual_exception,1-2,8,7,1,7,6,568,1.429,0.429,0.714,1.000,1.056,0.571,0.167,2.413,1,0,0,0,0,0
COMP2041,manual_exception,1-2,11,10,1,10,10,1637,1.800,0.500,0.600,1.000,0.611,1.200,0.100,3.193,1,1,0,0,0,1
COMP3222,manual_exception,1-2,10,9,1,9,1,891,1.444,0.556,0.889,0.778,0.112,1.556,1.000,3.203,1,1,0,1,0,1
COMP9334,manual_exception,1-2,8,7,1,7,7,770,2.143,0.714,0.286,1.000,0.909,0.857,0.143,0.994,1,1,0,0,1,1
COMP9511,manual_exception,1-2,8,7,1,7,7,810,2.286,0.857,0.143,1.000,0.864,0.714,0.143,2.905,1,1,0,0,1,1
FINS3633,manual_exception,1-2,9,8,1,8,0,729,1.125,0.375,0.875,0.750,0.000,1.875,0.000,2.035,2,2,0,0,2,2
GSOE9820,manual_exception,1-2,11,10,1,10,6,565,1.400,0.500,0.700,0.800,1.062,1.600,0.222,3.550,1,1,0,0,0,1
COMM1190,manual_exception,1-2,8,6,2,6,5,984,2.000,0.667,0.333,1.000,0.508,1.000,0.200,3.096,1,1,0,1,0,1
COMP3121,manual_exception,1-2,10,8,2,8,0,1111,1.375,0.250,0.875,0.875,0.000,1.625,0.000,2.886,2,2,0,2,0,2
COMP9444,manual_exception,1-2,10,8,2,8,3,689,2.000,0.500,0.500,1.000,0.435,1.000,0.556,3.288,3,3,0,1,3,3
COMP9727,manual_exception,1-2,8,6,2,6,6,944,2.333,0.833,0.333,1.000,0.636,0.667,0.167,2.369,1,1,0,1,0,1
COMP1521,manual_exception,3-5,10,7,3,7,0,1247,2.143,0.714,0.571,0.857,0.000,0.857,0.000,3.170,1,1,0,1,0,1
COMP4920,manual_exception,3-5,10,7,3,7,7,1421,1.571,0.429,0.571,0.857,0.493,1.429,0.306,2.646,3,3,1,2,0,3
COMP6443,manual_exception,3-5,13,10,3,10,11,710,1.700,0.700,0.700,0.900,1.549,1.300,0.140,2.434,3,3,0,3,0,3
COMP2511,manual_exception,3-5,13,9,4,9,20,1158,1.111,0.222,0.889,1.000,1.727,0.889,0.140,2.375,3,3,0,2,1,3
COMP6771,manual_exception,3-5,16,12,4,12,22,3224,2.000,0.667,0.250,1.000,0.682,1.000,0.178,3.604,5,5,0,2,1,5
COMP2521,manual_exception,3-5,13,8,5,8,14,1227,1.375,0.375,0.750,0.875,1.141,0.625,0.153,2.657,5,5,0,5,0,5
COMP9311,manual_exception,3-5,8,3,5,3,3,285,2.000,1.000,0.000,1.000,1.053,0.000,0.333,1.891,1,1,0,0,0,1
