course_code,course_title_en,expected_comments,review_rows_received,unique_comments_annotated,complete_comment_annotations,partial_or_incomplete_comment_annotations,missing_comment_annotations,gold_risk_rows_received,complete_gold_risk_rows,evidence_unit_rows,annotators,source_files,missing_comment_ids,status
ACCT2542,Corporate Financial Reporting and Analysis,8,8,8,8,0,0,1,1,8,hanyang,course_gold_risks_hanyang(1).csv;review_annotations_hanyang(1).csv,,complete_review_and_gold_risk
CDEV3500,Future Leader Lab,8,8,8,7,1,0,1,1,8,hanyang,course_gold_risks_hanyang(1).csv;review_annotations_hanyang(1).csv,,partial_review_annotation
COMM1150,Global Business Environments,10,50,10,10,0,0,10,5,15,kreit,COMM1150\course_gold_risks_kreit.csv;COMM1150\review_annotations_kreit.csv;COMP1521\course_gold_risks_kreit.csv;COMP1521\review_annotations_kreit.csv;COMP3121\course_gold_risks_kreit.csv;COMP3121\review_annotations_kreit.csv;COMP3222\course_gold_risks_kreit.csv;COMP3222\review_annotations_kreit.csv;COMP3311\course_gold_risks_kreit.csv;COMP3311\review_annotations_kreit.csv,,complete_review_and_gold_risk
COMM1190,"Data, Insights and Decisions",8,8,8,6,2,0,1,1,8,hanyang,course_gold_risks_hanyang(1).csv;review_annotations_hanyang(1).csv,,partial_review_annotation
COMP1511,Programming Fundamentals,15,21,15,4,11,0,3,2,16,Miris sjy;Yuanhang Yan,6731\review_annotations_Miris_sjy (2).csv;9044\review_annotations_Miris_sjy (2).csv;9417\review_annotations_Miris_sjy (2).csv;course_gold_risks_Yuanhang_Yan(2).csv;review_annotations_Yuanhang_Yan(3).csv,,partial_review_annotation
COMP1521,Computer Systems Fundamentals,10,40,10,7,3,0,4,4,4,kreit,COMP1521\course_gold_risks_kreit.csv;COMP1521\review_annotations_kreit.csv;COMP3121\course_gold_risks_kreit.csv;COMP3121\review_annotations_kreit.csv;COMP3222\course_gold_risks_kreit.csv;COMP3222\review_annotations_kreit.csv;COMP3311\course_gold_risks_kreit.csv;COMP3311\review_annotations_kreit.csv,,partial_review_annotation
COMP1531,Software Engineering Fundamentals,11,0,0,0,0,11,0,0,0,,,231;269;345;416;417;514;515;1000;1008;1017;1125,not_started
COMP2041,Software Construction: Techniques and Tools,11,0,0,0,0,11,0,0,0,,,1;146;148;230;270;433;434;517;518;595;1141,not_started
COMP2511,Software Design and Architecture,13,13,13,9,4,0,3,3,24,Yuanhang Yan,course_gold_risks_Yuanhang_Yan(2).csv;review_annotations_Yuanhang_Yan(3).csv,,partial_review_annotation
COMP2521,Data Structures and Algorithms,13,13,13,8,5,0,5,5,15,Yuanhang Yan,course_gold_risks_Yuanhang_Yan(2).csv;review_annotations_Yuanhang_Yan(3).csv,,partial_review_annotation
